ACTIVITY,SPECIFIC MOTION,METs
bicycling,Bicycling:  <10 mph; leisure; to work or for pleasure,4
bicycling,Bicycling:  10-11.9 mph; leisure; slow; light effort,6.8
bicycling,Bicycling:  12 mph; seated; hands on brake hoods or bar drops; 80 rpm,8.5
bicycling,Bicycling:  12 mph; standing; hands on brake hoods; 60 rpm,9
bicycling,Bicycling:  12-13.9 mph; leisure; moderate effort,8
bicycling,Bicycling:  14-15.9 mph; racing or leisure; fast; vigorous effort,10
bicycling,Bicycling:  16-19 mph; racing/not drafting or > 19 mph drafting; very fast; racing general,12
bicycling,Bicycling:  > 20 mph; racing; not drafting,15.8
bicycling,Bicycling:  BMX,8.5
bicycling,Bicycling:  general,7.5
bicycling,Bicycling:  leisure; 5.5 mph,3.5
bicycling,Bicycling:  leisure; 9.4 mph,5.8
bicycling,Bicycling:  mountain; competitive; racing,16
bicycling,Bicycling:  mountain; general,8.5
bicycling,Bicycling:  mountain; uphill; vigorous,14
bicycling,Bicycling:  on dirt or farm road; moderate pace,5.8
conditioning exercise,Bicycling:  stationary; 101-160 watts; vigorous effort,8.8
conditioning exercise,Bicycling:  stationary; 161-200 watts; vigorous effort,11
conditioning exercise,Bicycling:  stationary; 201-270 watts; very vigorous effort,14
conditioning exercise,Bicycling:  stationary; 30-50 watts; very light to light effort,3.5
conditioning exercise,Bicycling:  stationary; 51-89 watts; light-to-moderate effort,4.8
conditioning exercise,Bicycling:  stationary; 90-100 watts; moderate to vigorous effort,6.8
conditioning exercise,Bicycling:  stationary; general,7
conditioning exercise,Bicycling:  stationary; RPM/Spin bike class,8.5
bicycling,Bicycling:  to/from work; self selected pace,6.8
bicycling,Bicycling:  unicycling,5
conditioning exercise,Calisthenics:  (e.g.; push ups; sit ups; pull-ups; jumping jacks); vigorous effort,8
conditioning exercise,Calisthenics:  (e.g.; push ups; sit ups; pull-ups; lunges); moderate effort,3.8
conditioning exercise,Calisthenics:  (e.g.; situps; abdominal crunches); light effort,2.8
conditioning exercise,Calisthenics:  light or moderate effort; general (e.g.; back exercises); going up & down from floor ( 150),3.5
conditioning exercise,Conditioning:  Activity promoting video game (e.g.; Wii Fit); light effort (e.g.; balance; yoga),2.3
conditioning exercise,Conditioning:  Activity promoting video game (e.g.; Wii Fit); moderate effort (e.g.; aerobic; resistance),3.8
conditioning exercise,Conditioning:  Activity promoting video/arcade game (e.g.; Exergaming; Dance Dance Revolution); vigorous effort,7.2
conditioning exercise,Conditioning:  Army type obstacle course exercise; boot camp training program,5
conditioning exercise,Conditioning:  Circuit training; including kettlebells; some aerobic movement with minimal rest; general; vigorous intensity,8
conditioning exercise,Conditioning:  Circuit training; moderate effort,4.3
conditioning exercise,Conditioning:  CurvesTM exercise routines in women,3.5
conditioning exercise,Conditioning:  Elliptical trainer; moderate effort,5
conditioning exercise,Conditioning:  health club exercise classes; general; gym/weight training combined in one visit,5
conditioning exercise,Conditioning:  health club exercise; conditioning classes,7.8
conditioning exercise,Conditioning:  health club exercise; general,5.5
conditioning exercise,Conditioning:  home exercise; general,3.8
conditioning exercise,Conditioning:  native New Zealander physical activities (e.g.; Haka Powhiri; Moteatea; Waita Tira; Whakawatea; etc.); general; moderate effort,5.3
conditioning exercise,Conditioning:  native New Zealander physical activities (e.g.; Haka; Taiahab); general; vigorous effort,6.8
conditioning exercise,Conditioning:  Pilates; general,3
conditioning exercise,Conditioning:  Resistance (weight) training; multiple exercises; 8-15 repetitions at varied resistance,3.5
conditioning exercise,Conditioning:  Resistance (weight) training; squats ; slow or explosive effort,5
conditioning exercise,Conditioning:  Resistance training (weight lifting; free weight; nautilus or universal); power lifting or body building; vigorous effort,6
conditioning exercise,Conditioning:  rope skipping; general,12.3
conditioning exercise,Conditioning:  rowing; stationary ergometer; general; vigorous effort,6
conditioning exercise,Conditioning:  rowing; stationary; 100 watts; moderate effort,7
conditioning exercise,Conditioning:  rowing; stationary; 150 watts; vigorous effort,8.5
conditioning exercise,Conditioning:  rowing; stationary; 200 watts; very vigorous effort,12
conditioning exercise,Conditioning:  rowing; stationary; general; moderate effort,4.8
conditioning exercise,Conditioning:  ski machine; general,6.8
conditioning exercise,Conditioning:  slide board exercise; general,11
conditioning exercise,Conditioning:  slimnastics; jazzercise,6
conditioning exercise,Conditioning:  stair-treadmill ergometer; general,9
conditioning exercise,Conditioning:  stretching; mild,2.3
conditioning exercise,Conditioning:  teaching exercise class (e.g.; aerobic; water),6.8
conditioning exercise,Conditioning:  therapeutic exercise ball; Fitball exercise,2.8
conditioning exercise,Conditioning:  upper body exercise; arm ergometer,2.8
conditioning exercise,Conditioning:  upper body exercise; stationary bicycle – Airdyne (arms only) 40 rpm; moderate,4.3
conditioning exercise,Conditioning:  video exercise workouts; TV conditioning programs (e.g.; cardio-resistance); moderate effort,4
conditioning exercise,Conditioning:  video exercise workouts; TV conditioning programs (e.g.; cardio-resistance); vigorous effort,6
conditioning exercise,Conditioning:  video exercise workouts; TV conditioning programs (e.g.; yoga; stretching); light effort,2.3
running,Running:  4 mph (13 min/mile),6
running,Running:  5 mph (12 min/mile),8.3
running,Running:  5.2 mph (11.5 min/mile),9
running,Running:  6 mph (10 min/mile),9.8
running,Running:  6.7 mph (9 min/mile),10.5
running,Running:  7 mph (8.5 min/mile),11
running,Running:  7.5 mph (8 min/mile),11.5
running,Running:  8 mph (7.5 min/mile),11.8
running,Running:  8.6 mph (7 min/mile),12.3
running,Running:  9 mph (6.5 min/mile),12.8
running,Running:  10 mph (6 min/mile),14.5
running,Running:  11 mph (5.5 min/mile),16
running,Running:  12 mph (5 min/mile),19
running,Running:  13 mph (4.6 min/mile),19.8
running,Running:  14 mph (4.3 min/mile),23
running,Running:  cross country,9
running,Running:  jog/walk combination (jogging component of less than 10 minutes),6
running,Running:  jogging; general,7
running,Running:  jogging; in place,8
running,Running:  jogging; on a mini-tramp,4.5
running,Running:  marathon,13.3
running,Running:  on a track; team practice,10
running,Running:  stairs; up,15
running,Running:  training; pushing a wheelchair or baby carrier,8
sports,Sports:  Alaska Native Games; Eskimo Olympics; general,5.5
sports,Sports:  archery; non-hunting,4.3
sports,Sports:  auto racing; open wheel,8.5
sports,Sports:  badminton; competitive,7
sports,Sports:  badminton; social singles and doubles; general,5.5
sports,Sports:  basketball; drills; practice,9.3
sports,Sports:  basketball; game,8
sports,Sports:  basketball; general,6.5
sports,Sports:  basketball; non-game; general,6
sports,Sports:  basketball; officiating,7
sports,Sports:  basketball; shooting baskets,4.5
sports,Sports:  basketball; wheelchair,7.8
sports,Sports:  billiards,2.5
sports,Sports:  bowling,3
sports,Sports:  bowling; indoor; bowling alley,3.8
sports,Sports:  boxing; in ring; general,12.8
sports,Sports:  boxing; punching bag,5.5
sports,Sports:  boxing; sparring,7.8
sports,Sports:  broomball,7
sports,Sports:  cheerleading; gymnastic moves; competitive,6
sports,Sports:  children’s games; adults playing (e.g.; hopscotch; 4-square; dodgeball; playground apparatus; t-ball; tetherball; marbles; arcade games); moderate effort,5.8
sports,Sports:  coaching; actively playing sport with players,8
sports,Sports:  coaching; football; soccer; basketball; baseball; swimming; etc.,4
sports,Sports:  cricket; batting; bowling; fielding,4.8
sports,Sports:  croquet,3.3
sports,Sports:  curling,4
sports,Sports:  darts; wall or lawn,2.5
sports,Sports:  drag racing; pushing or driving a car,6
sports,Sports:  fencing,6
sports,Sports:  football or baseball; playing catch,2.5
sports,Sports:  football; competitive,8
sports,Sports:  football; touch; flag; general,8
sports,Sports:  football; touch; flag; light effort,4
sports,Sports:  frisbee playing; general,3
sports,Sports:  frisbee; ultimate,8
sports,Sports:  golf; general,4.8
sports,Sports:  golf; miniature; driving range,3
sports,Sports:  golf; using power cart,3.5
sports,Sports:  golf; walking; carrying clubs,4.3
sports,Sports:  golf; walking; pulling clubs,5.3
sports,Sports:  gymnastics; general,3.8
sports,Sports:  hacky sack,4
sports,Sports:  handball; general,12
sports,Sports:  handball; team,8
sports,Sports:  hang gliding,3.5
sports,Sports:  high ropes course; multiple elements,4
sports,Sports:  hockey; field,7.8
sports,Sports:  hockey; ice; competitive,10
sports,Sports:  hockey; ice; general,8
sports,Sports:  horse cart; driving; standing or sitting,1.8
sports,Sports:  horse chores; feeding; watering; cleaning stalls; implied walking and lifting loads,4.3
sports,Sports:  horseback riding; canter or gallop,7.3
sports,Sports:  horseback riding; general,5.5
sports,Sports:  horseback riding; jumping,9
sports,Sports:  horseback riding; trotting,5.8
sports,Sports:  horseback riding;walking,3.8
sports,Sports:  horseshoe pitching; quoits,3
sports,Sports:  jai alai,12
sports,Sports:  juggling,4
sports,Sports:  kickball,7
sports,Sports:  lacrosse,8
sports,Sports:  lawn bowling; bocce ball; outdoor,3.3
sports,Sports:  martial arts; different types; moderate pace (e.g.; judo; jujitsu; karate; kick boxing; tae kwan do; tai-bo; Muay Thai boxing),10.3
sports,Sports:  martial arts; different types; slower pace; novice performers; practice,5.3
sports,Sports:  moto-cross; off-road motor sports; all-terrain vehicle; general,4
sports,Sports:  orienteering,9
sports,Sports:  paddleball; casual; general,6
sports,Sports:  paddleball; competitive,10
sports,Sports:  polo; on horseback,8
sports,Sports:  racquetball; competitive,10
sports,Sports:  racquetball; general,7
sports,Sports:  rock climbing; ascending or traversing rock; low-to-moderate difficulty,5.8
sports,Sports:  rock climbing; ascending rock; high difficulty,7.5
sports,Sports:  rock climbing; rappelling,5
sports,Sports:  rock or mountain climbing,8
sports,Sports:  rodeo sports; general; light effort,4
sports,Sports:  rodeo sports; general; moderate effort,5.5
sports,Sports:  rodeo sports; general; vigorous effort,7
sports,Sports:  rollerblading; in-line skating; 14.4 km/h (9.0 mph); recreational pace,7.5
sports,Sports:  rollerblading; in-line skating; 17.7 km/h (11.0 mph); moderate pace; exercise training,9.8
sports,Sports:  rollerblading; in-line skating; 21.0 to 21.7 km/h (13.0 to 13.6 mph); fast pace; exercise training,12.3
sports,Sports:  rollerblading; in-line skating; 24.0 km/h (15.0 mph); maximal effort,14
sports,Sports:  rope jumping; fast pace; 120-160 skips/min,12.3
sports,Sports:  rope jumping; moderate pace; 100-120 skips/min; general; 2 foot skip; plain bounce,11.8
sports,Sports:  rope jumping; slow pace; < 100 skips/min; 2 foot skip; rhythm bounce,8.8
sports,Sports:  rugby; touch; non-competitive,6.3
sports,Sports:  rugby; union; team; competitive,8.3
sports,Sports:  saddling; cleaning; grooming; harnessing and unharnessing horse,4.5
sports,Sports:  shuffleboard,3
sports,Sports:  skateboarding; competitive; vigorous effort,6
sports,Sports:  skateboarding; general; moderate effort,5
sports,Sports:  skating; roller,7
sports,Sports:  skydiving; base jumping; bungee jumping,3.5
sports,Sports:  soccer; casual; general,7
sports,Sports:  soccer; competitive,10
sports,Sports:  softball or baseball; fast or slow pitch; general,5
sports,Sports:  softball; officiating,4
sports,Sports:  softball; pitching,6
sports,Sports:  softball; practice,4
sports,Sports:  sports spectator; very excited; emotional; physically moving,3.3
sports,Sports:  squash,12
sports,Sports:  squash; general,7.3
sports,Sports:  table tennis; ping pong,4
sports,Sports:  tai chi; qi gong; general,3
sports,Sports:  tai chi; qi gong; sitting; light effort,1.5
sports,Sports:  tennis; doubles,4.5
sports,Sports:  tennis; doubles,6
sports,Sports:  tennis; general,7.3
sports,Sports:  tennis; hitting balls; non-game play; moderate effort,5
sports,Sports:  tennis; singles,8
sports,Sports:  track and field (e.g.; high jump; long jump; triple jump; javelin; pole vault),6
sports,Sports:  track and field (e.g.; shot; discus; hammer throw),4
sports,Sports:  track and field (e.g.; steeplechase; hurdles),10
sports,Sports:  trampoline; competitive,4.5
sports,Sports:  trampoline; recreational,3.5
sports,Sports:  volleyball,4
sports,Sports:  volleyball; beach; in sand,8
sports,Sports:  volleyball; competitive; in gymnasium,6
sports,Sports:  volleyball; non-competitive; 6 – 9 member team; general,3
sports,Sports:  wallyball; general,7
sports,Sports:  wrestling (one match = 5 minutes),6
walking,Walking:  2.0 mph; level; slow pace; firm surface,2.8
walking,Walking:  2.5 mph; downhill,3.3
walking,Walking:  2.5 mph; level; firm surface,3
walking,Walking:  2.8 to 3.2 mph; level; moderate pace; firm surface,3.5
walking,Walking:  2.9 to 3.5 mph; uphill; 1 to 5% grade,5.3
walking,Walking:  2.9 to 3.5 mph; uphill; 6% to 15% grade,8
walking,Walking:  3.5 mph; level; brisk; firm surface; walking for exercise,4.3
walking,Walking:  4.0 mph; level; firm surface; very brisk pace,5
walking,Walking:  4.5 mph; level; firm surface; very; very brisk,7
walking,Walking:  5.0 mph; level; firm surface,8.3
walking,Walking:  5.0 mph; uphill; 3% grade,9.8
walking,Walking:  backpacking,7
walking,Walking:  backpacking; hiking or organized walking with a daypack,7.8
walking,Walking:  backwards; 3.5 mph; level,6
walking,Walking:  backwards; 3.5 mph; uphill; 5% grade,8
walking,Walking:  bird watching; slow walk,2.5
walking,Walking:  carrying > 74 lb load; upstairs,12
walking,Walking:  carrying 1 to 15 lb load; upstairs,5
walking,Walking:  carrying 15 lb child; slow walking,2.3
walking,Walking:  carrying 15 pound load (e.g. suitcase); level ground or downstairs,5
walking,Walking:  carrying 16 to 24 lb load; upstairs,6
walking,Walking:  carrying 25 to 49 lb load; upstairs,8
walking,Walking:  carrying 50 to 74 lb load; upstairs,10
walking,Walking:  carrying load upstairs; general,8.3
walking,Walking:  climbing hills with 0 to 9 lb load,6.5
walking,Walking:  climbing hills with 10 to 20 lb load,7.3
walking,Walking:  climbing hills with 21 to 42 lb load,8.3
walking,Walking:  climbing hills with 42+ lb load,9
walking,Walking:  climbing hills; no load,6.3
walking,Walking:  descending stairs,3.5
walking,Walking:  for exercise; 3.5 to 4 mph; with ski poles; Nordic level; moderate pace,4.8
walking,Walking:  for exercise; 5.0 mph; with ski poles; Nordic level; fast pace,9.5
walking,Walking:  for exercise; with ski poles; Nordic uphill,6.8
walking,Walking:  for pleasure; work break,3.5
walking,Walking:  grass track,4.8
walking,Walking:  hiking or walking at a normal pace through fields and hillsides,5.3
walking,Walking:  hiking; cross country,6
walking,Walking:  household,2
walking,Walking:  less than 2.0 mph; level; strolling; very slow,2
walking,Walking:  loading /unloading a car; implied walking,3.5
walking,Walking:  marching rapidly; military; no pack,8
walking,Walking:  marching; moderate speed; military; no pack,4.5
walking,Walking:  normal pace; plowed field or sand,4.5
walking,Walking:  pushing a wheelchair; non-occupational,3.8
walking,Walking:  pushing or pulling stroller with child or walking with children; 2.5 to 3.1 mph,4
walking,Walking:  race walking,6.5
walking,Walking:  stair climbing; fast pace,8.8
walking,Walking:  stair climbing; slow pace,4
walking,Walking:  stair climbing; using or climbing up ladder,8
walking,Walking:  to and from an outhouse,2.5
walking,Walking:  to work or class,4
walking,Walking:  using crutches,5
walking,Walking:  walking for pleasure,3.5
walking,Walking:  walking from house to car or bus; from car or bus to go places; from car or bus to and from the worksite,2.5
walking,Walking:  walking the dog,3
walking,Walking:  walking to neighbor’s house or family’s house for social reasons,2.5
water activities,Water Activities:  boating; power; driving,2.5
water activities,Water Activities:  boating; power; passenger; light,1.3
water activities,Water Activities:  canoeing; harvesting wild rice; knocking rice off the stalks,3.3
water activities,Water Activities:  canoeing; on camping trip,4
water activities,Water Activities:  canoeing; portaging,7
water activities,Water Activities:  canoeing; rowing; 2.0-3.9 mph; light effort,2.8
water activities,Water Activities:  canoeing; rowing; 4.0-5.9 mph; moderate effort,5.8
water activities,Water Activities:  canoeing; rowing; for pleasure; general,3.5
water activities,Water Activities:  canoeing; rowing; in competition; or crew or sculling,12
water activities,Water Activities:  canoeing; rowing; kayaking; competition; >6 mph; vigorous effort,12.5
water activities,Water Activities:  diving; springboard or platform,3
water activities,Water Activities:  jet skiing; driving; in water,7
water activities,Water Activities:  kayaking; moderate effort,5
water activities,Water Activities:  paddle boarding; standing,6
water activities,Water Activities:  paddle boat,4
water activities,Water Activities:  sailing; boat and board sailing; windsurfing; ice sailing; general,3
water activities,Water Activities:  sailing; in competition,4.5
water activities,Water Activities:  sailing; Sunfish/Laser/Hobby Cat; Keel boats; ocean sailing; yachting; leisure,3.3
water activities,Water Activities:  skiing; water or wakeboarding,6
water activities,Water Activities:  skindiving; fast,15.8
water activities,Water Activities:  skindiving; moderate,11.8
water activities,Water Activities:  skindiving; scuba diving; general,7
water activities,Water Activities:  snorkeling,5
water activities,Water Activities:  surfing; body or board; competitive,5
water activities,Water Activities:  surfing; body or board; general,3
water activities,Water Activities:  swimming laps; freestyle; fast; vigorous effort,9.8
water activities,Water Activities:  swimming laps; freestyle; front crawl; slow; light or moderate effort,5.8
water activities,Water Activities:  swimming; backstroke; general; training or competition,9.5
water activities,Water Activities:  swimming; backstroke; recreational,4.8
water activities,Water Activities:  swimming; breaststroke; general; training or competition,10.3
water activities,Water Activities:  swimming; breaststroke; recreational,5.3
water activities,Water Activities:  swimming; butterfly; general,13.8
water activities,Water Activities:  swimming; crawl; fast speed; ~75 yards/minute; vigorous effort,10
water activities,Water Activities:  swimming; crawl; medium speed; ~50 yards/minute; vigorous effort,8.3
water activities,Water Activities:  swimming; lake; ocean; river,6
water activities,Water Activities:  swimming; leisurely; not lap swimming; general,6
water activities,Water Activities:  swimming; sidestroke; general,7
water activities,Water Activities:  swimming; synchronized,8
water activities,Water Activities:  swimming; treading water; fast; vigorous effort,9.8
water activities,Water Activities:  swimming; treading water; moderate effort; general,3.5
water activities,Water Activities:  tubing; floating on a river; general,2.3
water activities,Water Activities:  water aerobics; water calisthenics,5.5
conditioning exercise,Water Activities:  water aerobics; water calisthenics; water exercise,5.3
water activities,Water Activities:  water jogging,9.8
water activities,Water Activities:  water polo,10
water activities,Water Activities:  water volleyball,3
water activities,Water Activities:  water walking; light effort; slow pace,2.5
water activities,Water Activities:  water walking; moderate effort; moderate pace,4.5
water activities,Water Activities:  water walking; vigorous effort; brisk pace,6.8
water activities,Water Activities:  whitewater rafting; kayaking; or canoeing,5
water activities,Water Activities:  windsurfing or kitesurfing; crossing trial,11
water activities,Water Activities:  windsurfing; competition; pumping for speed,13.5
water activities,Water Activities:  windsurfing; not pumping for speed,5
winter activities,Winter Activities:  dog sledding; mushing,7.5
winter activities,Winter Activities:  dog sledding; passenger,2.5
winter activities,Winter Activities:  ice fishing; sitting,2
winter activities,Winter Activities:  moving ice house; set up/drill holes,6
winter activities,Winter Activities:  skating; ice dancing,14
winter activities,Winter Activities:  skating; ice; 9 mph or less,5.5
winter activities,Winter Activities:  skating; ice; general,7
winter activities,Winter Activities:  skating; ice; rapidly; more than 9 mph; not competitive,9
winter activities,Winter Activities:  skating; speed; competitive,13.3
winter activities,Winter Activities:  ski jumping; climb up carrying skis,7
winter activities,Winter Activities:  skiing; cross country; >8.0 mph; elite skier; racing,15
winter activities,Winter Activities:  skiing; cross country; 2.5 mph; slow or light effort; ski walking,6.8
winter activities,Winter Activities:  skiing; cross country; 4.0-4.9 mph; moderate speed and effort; general,9
winter activities,Winter Activities:  skiing; cross country; 5.0-7.9 mph; brisk speed; vigorous effort,12.5
winter activities,Winter Activities:  skiing; cross country; hard snow; uphill; maximum; snow mountaineering,15.5
winter activities,Winter Activities:  skiing; cross-country; biathlon; skating technique,13.5
winter activities,Winter Activities:  skiing; cross-country; skating,13.3
winter activities,Winter Activities:  skiing; downhill; alpine or snowboarding; light effort; active time only,4.3
winter activities,Winter Activities:  skiing; downhill; alpine or snowboarding; moderate effort; general; active time only,5.3
winter activities,Winter Activities:  skiing; downhill; vigorous effort; racing,8
winter activities,Winter Activities:  skiing; general,7
winter activities,Winter Activities:  skiing; roller; elite racers,12.5
winter activities,Winter Activities:  sledding; tobogganing; bobsledding; luge,7
winter activities,Winter Activities:  snow blower; walking and pushing,2.5
winter activities,Winter Activities:  snow shoeing; moderate effort,5.3
winter activities,Winter Activities:  snow shoeing; vigorous effort,10
winter activities,Winter Activities:  snow shoveling; by hand; moderate effort,5.3
winter activities,Winter Activities:  snow shoveling; by hand; vigorous effort,7.5
winter activities,Winter Activities:  snowmobiling; driving; moderate,3.5
winter activities,Winter Activities:  snowmobiling; passenger,2
conditioning exercise,Yoga:  Hatha,2.5
conditioning exercise,Yoga:  Nadisodhana,2
conditioning exercise,Yoga:  Power,4
conditioning exercise,Yoga:  Surya Namaskar,3.3
